County,year,scenario,ref_annual_change,annual_change,change_mult
Alameda,2010,ssp2,3.1,3.1,1
Alameda,2020,ssp2,3.1,2.1,0.6774193548387097
Alameda,2030,ssp2,3.1,2.1,0.6774193548387097
Alameda,2040,ssp2,3.1,2.6,0.8387096774193549
Alameda,2050,ssp2,3.1,3.3,1.064516129032258
Alameda,2060,ssp2,3.1,3.4,1.096774193548387
Alameda,2070,ssp2,3.1,3,0.9677419354838709
Alameda,2080,ssp2,3.1,2.2,0.7096774193548387
Alameda,2090,ssp2,3.1,0.9,0.2903225806451613
Alameda,2100,ssp2,3.1,0,0
Alameda,2010,ssp5,3.1,3.1,1
Alameda,2020,ssp5,3.1,3.5,1.129032258064516
Alameda,2030,ssp5,3.1,5.8,1.8709677419354838
Alameda,2040,ssp5,3.1,7.3,2.354838709677419
Alameda,2050,ssp5,3.1,10.2,3.290322580645161
Alameda,2060,ssp5,3.1,11,3.5483870967741935
Alameda,2070,ssp5,3.1,12,3.8709677419354835
Alameda,2080,ssp5,3.1,11.1,3.5806451612903225
Alameda,2090,ssp5,3.1,6.8,2.193548387096774
Alameda,2100,ssp5,3.1,4.9,1.5806451612903227
Alpine,2010,ssp2,0.2,0.2,1
Alpine,2020,ssp2,0.2,0.1,0.5
Alpine,2030,ssp2,0.2,0,0
Alpine,2040,ssp2,0.2,0.1,0.5
Alpine,2050,ssp2,0.2,0.1,0.5
Alpine,2060,ssp2,0.2,0,0
Alpine,2070,ssp2,0.2,0.1,0.5
Alpine,2080,ssp2,0.2,0,0
Alpine,2090,ssp2,0.2,0.2,1
Alpine,2100,ssp2,0.2,0,0
Alpine,2010,ssp5,0.2,0.2,1
Alpine,2020,ssp5,0.2,0,0
Alpine,2030,ssp5,0.2,0,0
Alpine,2040,ssp5,0.2,0,0
Alpine,2050,ssp5,0.2,0,0
Alpine,2060,ssp5,0.2,0.1,0.5
Alpine,2070,ssp5,0.2,0,0
Alpine,2080,ssp5,0.2,0,0
Alpine,2090,ssp5,0.2,0,0
Alpine,2100,ssp5,0.2,0,0
Amador,2010,ssp2,1.2,1.2,1
Amador,2020,ssp2,1.2,0.1,0.08333333333333334
Amador,2030,ssp2,1.2,0,0
Amador,2040,ssp2,1.2,0,0
Amador,2050,ssp2,1.2,0,0
Amador,2060,ssp2,1.2,0,0
Amador,2070,ssp2,1.2,0,0
Amador,2080,ssp2,1.2,0,0
Amador,2090,ssp2,1.2,0,0
Amador,2100,ssp2,1.2,0,0
Amador,2010,ssp5,1.2,1.2,1
Amador,2020,ssp5,1.2,0.1,0.08333333333333334
Amador,2030,ssp5,1.2,0,0
Amador,2040,ssp5,1.2,0,0
Amador,2050,ssp5,1.2,0,0
Amador,2060,ssp5,1.2,0,0
Amador,2070,ssp5,1.2,0,0
Amador,2080,ssp5,1.2,0,0
Amador,2090,ssp5,1.2,0,0
Amador,2100,ssp5,1.2,0,0
Butte,2010,ssp2,2.4,2.4,1
Butte,2020,ssp2,2.4,1.7,0.7083333333333334
Butte,2030,ssp2,2.4,1.4,0.5833333333333334
Butte,2040,ssp2,2.4,1.6,0.6666666666666667
Butte,2050,ssp2,2.4,1.7,0.7083333333333334
Butte,2060,ssp2,2.4,1.6,0.6666666666666667
Butte,2070,ssp2,2.4,1.1,0.45833333333333337
Butte,2080,ssp2,2.4,0.8,0.33333333333333337
Butte,2090,ssp2,2.4,0.7,0.2916666666666667
Butte,2100,ssp2,2.4,0.6,0.25
Butte,2010,ssp5,2.4,2.4,1
Butte,2020,ssp5,2.4,1.4,0.5833333333333334
Butte,2030,ssp5,2.4,1.5,0.625
Butte,2040,ssp5,2.4,2.3,0.9583333333333333
Butte,2050,ssp5,2.4,2.4,1
Butte,2060,ssp5,2.4,2.5,1.0416666666666667
Butte,2070,ssp5,2.4,2.5,1.0416666666666667
Butte,2080,ssp5,2.4,2,0.8333333333333334
Butte,2090,ssp5,2.4,2,0.8333333333333334
Butte,2100,ssp5,2.4,2.6,1.0833333333333335
Calaveras,2010,ssp2,1.4,1.4,1
Calaveras,2020,ssp2,1.4,0.2,0.14285714285714288
Calaveras,2030,ssp2,1.4,0,0
Calaveras,2040,ssp2,1.4,0,0
Calaveras,2050,ssp2,1.4,0,0
Calaveras,2060,ssp2,1.4,0,0
Calaveras,2070,ssp2,1.4,0,0
Calaveras,2080,ssp2,1.4,0,0
Calaveras,2090,ssp2,1.4,0,0
Calaveras,2100,ssp2,1.4,0,0
Calaveras,2010,ssp5,1.4,1.4,1
Calaveras,2020,ssp5,1.4,0.2,0.14285714285714288
Calaveras,2030,ssp5,1.4,0,0
Calaveras,2040,ssp5,1.4,0,0
Calaveras,2050,ssp5,1.4,0,0
Calaveras,2060,ssp5,1.4,0,0
Calaveras,2070,ssp5,1.4,0,0
Calaveras,2080,ssp5,1.4,0,0
Calaveras,2090,ssp5,1.4,0,0
Calaveras,2100,ssp5,1.4,0.2,0.14285714285714288
Colusa,2010,ssp2,0.01,0,0
Colusa,2020,ssp2,0.01,0.3,30
Colusa,2030,ssp2,0.01,0.1,10
Colusa,2040,ssp2,0.01,0.2,20
Colusa,2050,ssp2,0.01,0.3,30
Colusa,2060,ssp2,0.01,0.4,40
Colusa,2070,ssp2,0.01,0.1,10
Colusa,2080,ssp2,0.01,0,0
Colusa,2090,ssp2,0.01,0.1,10
Colusa,2100,ssp2,0.01,0,0
Colusa,2010,ssp5,0.01,0,0
Colusa,2020,ssp5,0.01,0.5,50
Colusa,2030,ssp5,0.01,0,0
Colusa,2040,ssp5,0.01,0.4,40
Colusa,2050,ssp5,0.01,0.5,50
Colusa,2060,ssp5,0.01,0.6,60
Colusa,2070,ssp5,0.01,0.7,70
Colusa,2080,ssp5,0.01,0.6,60
Colusa,2090,ssp5,0.01,0.2,20
Colusa,2100,ssp5,0.01,0.3,30
Contra Costa,2010,ssp2,7.8,7.8,1
Contra Costa,2020,ssp2,7.8,4.8,0.6153846153846154
Contra Costa,2030,ssp2,7.8,4.8,0.6153846153846154
Contra Costa,2040,ssp2,7.8,4,0.5128205128205129
Contra Costa,2050,ssp2,7.8,3.4,0.4358974358974359
Contra Costa,2060,ssp2,7.8,4.2,0.5384615384615385
Contra Costa,2070,ssp2,7.8,2.8,0.358974358974359
Contra Costa,2080,ssp2,7.8,2.1,0.2692307692307693
Contra Costa,2090,ssp2,7.8,1,0.12820512820512822
Contra Costa,2100,ssp2,7.8,0,0
Contra Costa,2010,ssp5,7.8,7.8,1
Contra Costa,2020,ssp5,7.8,7.7,0.9871794871794872
Contra Costa,2030,ssp5,7.8,9.7,1.2435897435897436
Contra Costa,2040,ssp5,7.8,9.1,1.1666666666666667
Contra Costa,2050,ssp5,7.8,10.2,1.3076923076923077
Contra Costa,2060,ssp5,7.8,8,1.0256410256410258
Contra Costa,2070,ssp5,7.8,7.4,0.9487179487179488
Contra Costa,2080,ssp5,7.8,4.2,0.5384615384615385
Contra Costa,2090,ssp5,7.8,5,0.6410256410256411
Contra Costa,2100,ssp5,7.8,3,0.38461538461538464
Del Norte,2010,ssp2,0.7,0.7,1
Del Norte,2020,ssp2,0.7,0,0
Del Norte,2030,ssp2,0.7,0,0
Del Norte,2040,ssp2,0.7,0,0
Del Norte,2050,ssp2,0.7,0,0
Del Norte,2060,ssp2,0.7,0,0
Del Norte,2070,ssp2,0.7,0,0
Del Norte,2080,ssp2,0.7,0,0
Del Norte,2090,ssp2,0.7,0,0
Del Norte,2100,ssp2,0.7,0,0
Del Norte,2010,ssp5,0.7,0.7,1
Del Norte,2020,ssp5,0.7,0.5,0.7142857142857143
Del Norte,2030,ssp5,0.7,0.7,1
Del Norte,2040,ssp5,0.7,0.5,0.7142857142857143
Del Norte,2050,ssp5,0.7,0.5,0.7142857142857143
Del Norte,2060,ssp5,0.7,0.8,1.142857142857143
Del Norte,2070,ssp5,0.7,0.5,0.7142857142857143
Del Norte,2080,ssp5,0.7,1,1.4285714285714286
Del Norte,2090,ssp5,0.7,0.8,1.142857142857143
Del Norte,2100,ssp5,0.7,1,1.4285714285714286
El Dorado,2010,ssp2,3.5,3.5,1
El Dorado,2020,ssp2,3.5,1.3,0.37142857142857144
El Dorado,2030,ssp2,3.5,1.8,0.5142857142857143
El Dorado,2040,ssp2,3.5,2.6,0.7428571428571429
El Dorado,2050,ssp2,3.5,2.3,0.6571428571428571
El Dorado,2060,ssp2,3.5,2.6,0.7428571428571429
El Dorado,2070,ssp2,3.5,2.5,0.7142857142857143
El Dorado,2080,ssp2,3.5,1.7,0.4857142857142857
El Dorado,2090,ssp2,3.5,0.7,0.19999999999999998
El Dorado,2100,ssp2,3.5,0,0
El Dorado,2010,ssp5,3.5,3.5,1
El Dorado,2020,ssp5,3.5,2.8,0.7999999999999999
